id_cliente,id_producto,id_fecha,cantidad,total
2,4,1,9,6938
2,1,1,5,3860
1,1,2,9,14021
3,1,5,8,12023
5,1,3,3,7532
4,5,4,1,9514
1,5,1,7,3839
3,3,1,5,10836
2,1,1,9,7258
5,2,1,8,14496
4,5,3,4,8057
4,5,1,4,2855
5,4,5,4,10634
1,3,1,4,11406
3,1,4,1,4585
3,5,2,10,9476
5,5,5,7,10432
4,3,5,10,2278
5,3,3,9,7569
1,2,1,3,7033
3,1,5,1,10566
2,3,2,1,3188
1,3,5,4,10523
4,4,2,6,6008
1,2,1,2,13100
4,4,3,7,6787
1,4,3,1,2742
1,1,2,6,14342
4,5,5,9,3400
2,2,4,5,8011
3,5,3,8,5734
5,4,4,5,14364
2,2,1,3,8553
3,4,1,4,9628
5,5,3,10,6190
2,1,4,5,8191
5,1,1,6,3174
3,2,4,3,236
3,2,1,9,8765
2,5,5,10,3120
2,2,5,4,6121
2,3,1,1,14040
4,4,3,4,6451
2,1,2,8,10151
4,4,5,9,2087
4,5,1,3,3206
3,1,1,2,6002
3,3,2,7,11292
4,5,1,8,341
5,4,2,9,3213
3,1,4,6,9449
5,1,2,10,2938
5,5,1,7,5780
4,1,1,6,6651
1,1,5,2,1308
4,5,4,1,5436
1,5,5,2,8356
4,1,5,6,6912
2,5,2,4,6581
3,4,2,2,14621
4,2,5,2,12985
2,1,3,5,6520
5,3,3,5,7101
5,1,3,3,10285
2,4,1,9,10904
1,1,2,1,13308
1,2,4,6,2674
5,3,1,8,2340
3,3,2,4,12209
1,4,5,5,14778
4,4,1,6,7636
1,5,5,5,11474
4,2,2,8,1805
5,3,1,1,9334
4,1,4,4,10168
3,1,1,2,14098
2,5,3,7,5779
3,5,4,9,5383
3,1,3,9,6857
5,2,4,5,3603
5,3,2,4,6387
5,2,2,7,11200
1,5,4,5,3360
4,4,3,3,8351
5,2,3,8,5016
1,3,4,8,6926
3,3,5,2,12404
5,3,1,2,889
1,5,5,9,6481
5,4,1,6,6083
1,3,4,7,14893
4,4,4,9,10006
1,1,2,2,309
4,3,1,6,14307
5,2,1,10,721
1,2,3,7,9235
2,3,2,3,6860
2,2,1,6,5135
3,4,3,7,13740
2,5,3,3,7967
